岗位名称,最低薪资,最高薪资,公司名称,地区,地市,经验诉求,学历要求,招录人数,特殊要求,专业要求,待遇福祉,职位信息,职能类别,关键字,上班地址,工作ID,公司介绍,性质,人数规模,类属,经度,维度,公司地址,区域
大数据分析,4,6千/月,宁波信息港开发投资股份有限公司,宁波-高新区,宁波,无工作经验,本科,招2人,经济学 经济与金融,,Null,职位信息 1.经济、管理、统计等专业，成绩优异 2.熟练掌握office软件，具备一定的写作功底 3.做事踏实，思维严谨，善于沟通，有较强的团队意识 工作内容： 1.数据资料的采集、统计、分析 2.撰写课题报告 ,",职能类别：,其他,",,上班地址：研发园,100010219,信息化服务,国企,50-150人,计算机服务(系统、数据服务、维修)计算机软件,29.890612,121.645614,研发园,高新区
数据分析师,1,1.5万/月,无锡市人力资源市场,无锡,无锡,2年经验,本科,招若干人,,,Null,"职位信息 岗位职责： 1、负责互联网数据专题分析，支持个性化项目，撰写相关报告； 2、负责构建业务数据分析体系； 3、响应业务团队数据提取和数据分析需求； 4、专题和项目的分析挖掘模型研究。 任职要求： 1、本科及以上学历，英语四级以上，统计学、应用数学、计算机等专业优先； 2、2年以上数据分析相关经验，电商行业工作经验为佳； 3、熟练SQL语言，有较好的数据提取和处理能力； 4、熟练掌握Excel、word、PPT,熟悉spss、sas、r语言等数据分析、挖掘工具和语言为佳； 5、了解数据挖掘常用算法，有数据建模实践经验优先； 6、严密的数学思维、分析和归纳能力。 ",",职能类别：,大数据开发/分析,",,上班地址：无锡,100014393,无锡市人力资源市场在国内众多的政府所属人才机构中率先推出人力资源管理咨询，先后成功为数十家企事业单位提供了人力资源管理咨询业务，服务内容涉及人力资源战略与规划、组织结构与职位分析、薪酬体系设计、绩效管理体系设计、高管激励机制设计、培训体系设计、企业文化体系设计、人才测评和人员竟聘上岗组织实施，依靠其卓越的业绩，获得了业内客户的认可和一致好评。 无锡市人才市场拥有中国人民大学、上海交通大学、东南大学、南京航空航天大学、南京理工大学等国内知名学府教授、博士生导师为主体的专家团队；拥有与国内著名咨询机构中具备多年咨询经验的资深顾问；拥有一批实践在第一线的中外著名企业的资深HR总监（经理）；拥有自身培养的、具有丰富实战经验与理论知识、能独立主持大型咨询项目的高级咨询师。 无锡市人力资源市场管理咨询团队秉持严格的质量控制体系，一切咨询业务以客户需求为出发点，以“系统性、前瞻性、策略性、针对性和实效性”设计方案的准则；深入细致的调研、科学合理的建议、量身定做的对策、及时有效的辅导，更有基于对本地企业的深入了解，将提供最有效的企业人力资源问题解决方案。 我们定位于： 客户导向：立足本土市场和政策环境，针对性地发现和解决客户的实际问题。 结果导向：始终关注咨询方案的可操作性，为方案的实施提供多种形式的支持。 价值导向：同步培养客户的管理人才并扫清变革障碍，实现服务价值的最大化,事业单位,150-500人,"政府,公共事业专业服务(咨询、人力资源、财会)",31.496704,120.318954,无锡,无锡
诚招 信息管理员 （ 电商数据分析方向）,4,6千/月,上海数迭信息科技有限公司,上海,上海,无工作经验,大专,招6人,普通话良好,,",五险一金,周末双休,年终奖金,全勤奖,员工旅游,绩效奖金,",职位信息 1.协助维护公司B2B平台现有运营数据信息，建立信息化档案，包括对现有数据信息的整理、汇总； 2.协助业务部门进行网络推广，开拓新市场； 3.公司信息系统数据整理、信息维护、网站管理等。   任职要求： 1.大专及以上学历，计算机技术、信息管理等相关专业； 2.性格开朗、思维敏捷，有较强的责任心和上进心； 3.适应能力及学习能力强，有良好的沟通能力和团队精神； 4.热爱电子商务、互联网行业  本岗位欢迎应届生应聘  薪资待遇： 待遇从优、5险1金、带薪年假、发展空间广阔！ ,",职能类别：,大数据开发/分析,","关键字：,信息管理,信息技术,信息员,统计员,实习生,电商数据分析,数据分析员,统计员,",上班地址：上海,100026293,&nbsp;&nbsp;&nbsp;&nbsp;上海数迭信息科技有限公由多位国内外知名咨询公司大数据行业专家联合发起成立，公司专注于大数据、互联网与电子商务行业，致力于成为国内领先的专业服务团队。 &nbsp;&nbsp;&nbsp;&nbsp;数迭信息目前的主营业务及产品为管理咨询、运营支撑服务、大数据分析、数据挖掘模型、BI及应用系统规划及设计，期望能够为客户提供全方位的运营服务，包括客户需求挖掘、客户需求分析、日常业务运营、营销活动设计与评估、KPI指标的完成、客户分析与数据挖掘、分析及营销系统的应用规划与设计，帮助客户完成业务指标、提升运营能力。 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;基于以上的服务理念与目标，公司重点在大数据分析、客户洞察、知识挖掘、专题应用等方面塑造公司的核心能力，结合丰富的业务知识与行业经验，在市场营销、业务支撑、以及支撑系统优化等方面积累配置专业人才，为客户提供高价值的服务。公司看好大数据和互联网市场专业服务领域未来的规模和价值，希望塑立并打造长期的品牌和口碑，所以在人员投入、知识积累等方面处于国内公司的领先地位。 &nbsp;&nbsp;&nbsp;公司总部分设在上海，并在北京、深圳、广州、杭州、南京、长春等地拥有较大规模的本地化服务团队，目前正在服务的客户超过10个省公司。,合资,500-1000人,"互联网,电子商务计算机软件",31.23595,121.480524,上海,上海
数据分析师（网络安全方向）,0.8,1.6万/月,南京烽火星空通信发展有限公司,南京-建邺区,南京,无工作经验,本科,招5人,,,",五险一金,补充医疗保险,员工旅游,交通补贴,餐饮补贴,定期体检,年终奖金,绩效奖金,",职位信息 任职资格： 1、本科及以上学历，熟练掌握linux操作； 2、熟悉网络协议，熟练掌握sniffer、wireshark协议分析工具； 3、熟悉SQL操作，熟练掌握Python； 4、对互联网网络安全有深入理解。 ,",职能类别：,情报信息分析人员,大数据开发/分析,",,上班地址：云龙山路88号烽火大厦A座26F,100038887,&nbsp;&nbsp;&nbsp;&nbsp;南京烽火星空通信发展有限公司是烽火通信科技股份有限公司控股子公司，烽火通信成立于1999年12月，是国内知名的通信上市公司，是中国光通信产业的“黄埔军校” 。继光产品之后，信息安全、业务与应用产品作为烽火通信大力扶持的战略重点产品迅速崛起，目前公司在南京河西CBD地区的新城科技园拥有64000平方米左右的研发中心，在西安高新区设有研发中心。 &nbsp;&nbsp;&nbsp;&nbsp;经过多年的辛勤耕耘，在行业市场上，烽火南京研发中心（简称南京烽火）已拥有技术与市场的双重领先优势，业务范围覆盖全国，销售规模过亿，是烽火大家庭中最具有活力与创造力的明星成员之一。 &nbsp;&nbsp;&nbsp;&nbsp;在网络信息安全领域，南京烽火一直处于国内领先地位，获得过国家科技进步二等奖。在移动信息化领域，南京烽火目前已拥有从中间件到应用系统、手机客户端、定制终端在内的全套解决方案，并拥有几十项软件著作权及多项技术专利；未来，将进一步加大在网络/手机安全、移动应用中间件、物联网、云计算、移动互联网、移动支付等基础技术领域的重点研究，并谋求在若干重点行业上获得重大突破，成为具有领先地位的行业解决方案提供商。 &nbsp;&nbsp;&nbsp;&nbsp;烽火星空现有员工2000余人，公司在南京、西安和上海设有研发中心，主做信息安全方向软件研发。 ,国企,1000-5000人,"计算机软件通信,电信运营、增值服务",31.995939,118.744326,云龙山路88号烽火大厦A座26F,建邺区
数据分析工程师,0.6,1.2万/月,广东创我科技发展有限公司,珠海-珠海高新区,珠海,1年经验,本科,招若干人,统计学,,",餐饮补贴,绩效奖金,专业培训,",职位信息 岗位要求： &nbsp; &nbsp;1. 统计学或相关专业。&nbsp; &nbsp;2. 对统计算法、数据挖掘和建模有基础认识。&nbsp; &nbsp;3. 具有一定的数据敏感度和良好的逻辑思维。 &nbsp;&nbsp;4. 具备使用深度学习算法完成自然语言分析的机器学习任务。&nbsp; &nbsp;5. 会使用SQL、Python，有使用R经验或者TensorFlow经验优先。&nbsp; &nbsp;6. 具备较强的责任心，目标感强，良好的学习能力和抗压能力。 工作内容： 1. 负责业务数据的分析、专题报告编写。&nbsp; 2. 负责数据挖掘和数据建模。 工作方向：电信运营商的数据分析，挖掘，建模  ,",职能类别：,算法工程师,大数据开发/分析,",,上班地址：珠海市高新区唐家湾镇南方软件园B6栋2层,100065376,&nbsp;&nbsp;&nbsp;&nbsp;广东创我科技发展有限公司成立于1995年，注册资金3300万，是广东省首批“双软”认证企业和高新技术企业，珠海市十强软件企业。 2001年4月份获得美国IDGVC风险投资，公司已经通过计算机信息系统集成资质三级、CMM Level 2认证和ISO9001质量管理体系、ISO20000 IT服务管理体系、ISO27001信息安全管理体系认证。  &nbsp;&nbsp;&nbsp;&nbsp;创我科技创建伊始就确立了以拓展数据仓库、网络技术、人工智能、地理信息系统等技术在电信（移动通信）行业的决策及业务支持应用为主，移动通信领域网络优化、信息系统建设、移动互联与电子商务等专业服务并举的发展方向，致力于为中国移动及其下属公司提供完整的解决方案，对移动业务有深刻的理解，对数据分析和数据挖掘有丰富的经验，对数据有极高的敏感性。  &nbsp;&nbsp;&nbsp;&nbsp;创我科技是中国移动集团“经营分析系统”的第一批入围厂家，并参加了中国移动集团“经营分析系统”的业务规范和技术规范的编写，在编写小组中承担组长，对起主导作用，并在2003年的全国范围内获得了7个省公司的经营分析系统的项目建设（黑龙江移动、河南移动、甘肃移动、宁夏移动、天津移动、广西移动、海南移动）和一个省公司的ODS项目建设（北京移动业务报表系统（含ODS系统）项目），在这些项目建设过程中，获得丰富的数据分析和数据挖掘经验，并相继在这些省份获得了“经营分析系统1.5”和数据集市的项目建设。  &nbsp;&nbsp;&nbsp;&nbsp;2010年，创我科技在国内率先投身大数据技术的研发与应用，将公司业务重心放在面向运营商的基于大数据技术的决策支持及主动精准营销产品和服务。公司确立了以大数据技术为核心、以智能运营Smart Operration（通信、广电、银行、证券等企业客户）、智慧城市Smart City（政府客户）、智能媒体Smart Media（个人用户）为主导的新业务方向。  &nbsp;&nbsp;&nbsp;&nbsp;2015年，创我科技与“长沙市公安局”联合研发“天网快速布防系统”产品，该系统配合现有“天网视频监控系统”，充分利用4G无线网络、WiFi技术、GIS地图、视频图像采集、传输、实时监控、视频播放等先进技术手段，满足城市治安防控和城市管理需求，全面解决天网系统单点综合造价高、布防速度慢及监控点分布广、维护难度大，社会化厂家无法提供本地化服务，售后服务得不到保障等问题，满足城市治安防控和城市管理需求。  &nbsp;&nbsp;&nbsp;&nbsp;创我科技长期从事于软硬件开发和项目实施，在系统集成、软硬件开发和项目实施中，有丰富的经验，并取得相关的资质，技术力量雄厚，承担过多个大型项目的研发和实施。,民营公司,50-150人,计算机软件计算机硬件,22.377918,113.581352,珠海市高新区唐家湾镇南方软件园B6栋2层,珠海高新区
数据分析实习生,90元/天,,北京恒美广告有限公司上海分公司,上海,上海,无工作经验,,招2人,,,",五险一金,员工旅游,弹性工作,年终奖金,","职位信息  Be responsible for daily campaign measurement and analysis, including data pulling, coding, processing and reporting  Work closely with planners, social, search, content and e-commerce team to review performance and identify optimization opportunities  Document project results, address project issues and answer questions from business partners  Conduct desk research on media trends, hot topics and new technologies  Support line managers to build thought leaderships  ",",职能类别：,媒介专员,",,上班地址：上海市南京西路1788号1788国际大厦11－12层,100067843,"宏盟媒体集团隶属于宏盟集团（纽约证券交易所代码：OMC）。宏盟媒体集团由几个专业媒体机构整合而成。其中OMD，中文为浩腾媒体,是全球最大以及最具创新能力的媒体营销专家。PHD,中文名为品迪, 是一家凭借其在客户服务领域的开创性和创新性而获得普遍认可的领先媒体服务机构。 ",外资（欧美）,500-1000人,广告,31.228566,121.450835,上海市南京西路1788号1788国际大厦11－12层,上海
网站数据分析,15,20万/年,上海伊集院人才咨询服务有限公司,上海,上海,2年经验,本科,招1人,,,",带薪年假,五险一金,加班补贴,专业培训,年终奖金,通讯补贴,",职位信息 ？EC网站的流入转化的数据分析和优化提案 ？各广告渠道的转化分析和优化策略 ？网站客户行为的大数据分析 ？客户购买周期、次数、产品的分析和模型提炼 招聘要求:  ？25-35岁，从事EC网站数据分析的工作2年以上 ？精通GA、VBA，百度统计等分析工具 ？数据分析、挖掘能力强 ？SQL熟练 ,",职能类别：,大数据开发/分析,","关键字：,GA,百度统计,数据分析,VBA,",上班地址：天目西路128号企业中心第一座10楼,100095187,"企业宗旨：诚信！进取！高效！  3个喜悦：  第1个喜悦来自于人才找到匹配的公司 第2个喜悦来自于公司找到合意的人才 第3个喜悦来自于我们自身价值的体现  企业历史：  2004年12月上海总公司成立 2010年广州办事处成立 2010年苏州办事处成立  现今，企业的竞争就是人才的竞争，拥有人才就拥有未来.事实上“猎头”在国外已经是一种得到广泛认可的招聘形式.寻觅更加适合企业发展，能够为企业创造价值的中高级管理人才，猎头公司伊集院为此搭建了一个高起点的平台和通道。  我们潜心于打造一个具浓厚学习氛围及良性竞争的工作环境,让每一位成员与伊集院一起茁壮成长。  我们坚持对每一位人才客户提供细致周到的服务。针对每位候选人，我们将提供职业生涯规划以及相关职位的面试指导；在试用期间进行长达三个月以上的跟踪服务，密切关注人才的动向及发展，给予实质性的建议举措。  我们立志为每一位客户公司提供全面贴心的服务。对于每家委托公司，根据一系列完善紧密的服务流程，我们保持有效、及时的信息沟通；聆听客户的需求掌握客户的现况；对推荐候选人严格把关，在保证的同时，高效率的完成委托。  为使企业与求职者实现完美结合,注重对人才内外及多个方面进行符合性分析,严格甄选合适人才.公司顾问团队凭借多年跨地区、跨行业的猎头经验为包含世界500强企业寻访到了企业的各类人才,从公司总经理到部门经理,从执行长官到财务总监,以及特殊技能人才,高级科技人员;行业覆盖IT、电子、化工，机械，建材，房地产，医疗器械咨询等多个领域.涉猎的职能有人事，财务，市场，销售，CFO，CEO，制造等多方位人才的推荐,得到客户的广泛赞誉。 ",合资,少于50人,专业服务(咨询、人力资源、财会),31.251594,121.465066,天目西路128号企业中心第一座10楼,上海
秘书&amp;数据分析,0.6,1.1万/月,无锡华润矽科微电子有限公司,无锡,无锡,3-4年经验,本科,招1人,英语良好,数学与应用数学 经济管理,Null,"职位信息 1，协助总经理完成相关企业数据整理和分析工作 2，拟制相关报告（word，ppt等) 3，协助项目管理，部分事宜跟进工作 4，企业文化相关工作 职位要求： 1，从事半导体相关行业，3-5年以上工作经验，熟悉生产流程，具有良好成本核算意识，敏锐观察力，分析判断能力 2，精通/擅长使用Office办公软件(WORD ,EXCEL、 PowerPoint等)，熟悉SAP和数据库软件 3，有一定特长 ",",职能类别：,总裁助理/总经理助理,财务分析员,","关键字：,数据分析,企业秘书,",上班地址：菱湖大道180-22,100098821,无锡华润矽科微电子有限公司（华润矽科）是华润微电子有限公司旗下集成电路设计公司之一，从事数字音视频SoC、微控制器、模拟集成电路和系统方案设计与开发，是中国第一批认定的集成电路设计企业。公司名列“中国十大集成电路设计企业”之一，获工信部颁发的“十年中国芯”领军设计企业奖。 华润矽科采用国际同步的管理思想和工具，建立了企业发展战略管理体系，建立并完善了市场驱动型开放式（联合）研发创新和产业化体系。应用SAP、ERP 系统等工具，建立了信息化企业运行体系。 建有完善的质量体系和健全的知识产权组织与管理体系，并获ISO9001、QC080000、ISO14001 和OHSAS18001 等体系认证证书。 华润矽科积聚了系统方案设计、电路设计到工艺开发的各层次技术人才，形成了一支技术复合型经验丰富的技术创新团队。 华润矽科利用国际接轨的EDA 工具和设计流程，结合华润微电子和业界的制造资源优势，通过技术研发和产品创新，积累了公司自主的IP库，形成了完善的设计技术平台。 华润矽科与业界一流的晶圆代工和封装企业建立了长期战略合作伙伴关系，建立了规模化产业运作平台。 华润矽科视客户为合作伙伴，为客户创造价值，与客户共同成长。 华润矽科采用直接销售和代理销售相结合的营销模式，形成了稳定的国内和国外市场营销网络，拥有丰富的客户资源。华润矽科是国内为彩电、空调、音响等整机配套的最大集成电路供应商之一，多个门类产品在产品技术、产品性能、产品质量和市场占有率方面据国内领先水平，营销规模居国内前茅。华润矽科为整机企业提供高性价比配套产品，为整机企业打破国外垄断，降低成本，提高产品竞争力发挥了积极作用。 展望未来，华润矽科将继续坚定地扎根于中国消费类电子市场，前瞻客户需求，聚焦数字音视频电路、微控制器和模拟电路产品领域，提升和优化产品结构，积累持续创新能力和IP，掌握核心技术，用创新性产品和系统解决方案为客户创造价值，努力成为知名的中国集成电路品牌。,外资（非欧美）,500-1000人,"电子技术,半导体,集成电路",31.497583,120.384523,菱湖大道180-22,无锡
数据分析师,0.8,1万/月,广西住朋购友文化传媒有限公司,南宁,南宁,1年经验,大专,招若干人,数学与应用数学 统计学,,",带薪年假,节日福利,转正买五险,",职位信息  岗位职责 ：  1、负责基于量化分析产品解决方案的分析、设计与研究； 2、负责数理分析产品的研发，以及模型架构的设计及模型开发过程中的质量把控； 3、负责组织、执行模型的监控、改进、优化、升级等工作。 任职要求 ：  1、数学、统计学、计算机等相关专业背景，本科及以上学历；具有一年以上行业数据挖掘建模项目经验； 2、掌握数据挖掘理论及较为扎实的统计理论知识，精通数据模型建模过程及主流算法； 3、熟练使用至少一种专业统计分析软件，如SAS、SPSS、R等，具备一定的Java或Python编程能力者优先； 4、具备优秀的沟通、协调、组织能力，有较强责任心与抗压性； 5、3年以上相关工作经验。 转正薪资8-10K+奖金+补贴 我们为您提供： 1、系统培训（新人入职培训、专业技能培训、不定期邀请知名教授培训）； 2、具有竞争力的薪酬：基础工资+岗位工资+绩效工资+福利补贴； 3、火箭式晋升制度，每半年一次的晋升机会，只要你想做，只要你敢做； 4、享受国家法定节假日以及婚假、带薪年假、过节费； 5、节假日低调华丽的礼品； 6、丰富多样的部门团建活动； 7、周全的企业保障，转正即可购买社保五险（养老，失业、工伤、医疗、生育）  上班时间：周一到周五8：30-12：00，14：00-18:00，周六8：30-12：00 工作地址：南宁 ,",职能类别：,大数据开发/分析,","关键字：,大数据,开发,市场分析,调研,数据库,工程师,研发,设计,",上班地址：中泰路8号天健商务大厦15楼,100156051,广西住朋购友文化传媒有限公司成立于2009年7月30日，是由数家互联网高科技企业资源优势整合后成立的企业，是目前广西较大的房地产类为主的互联网电子商务企业，拥有全区知名的“住朋购友”互联网品牌，旗下拥有住朋网（www.zp365.com）、广西房地产信息网（www.gxfdc.cn）、购友网（www.gy365.com）、《住朋购友房产DM》等品牌，2013年度全公司销售额达20亿元，业务覆盖全区52个市、县，在柳州、玉林、北海、钦州、防城港、贵港等城市开设分公司。 “住朋购友”品牌发展至今，实现了跨地区、跨媒体、跨平台的综合性资源开发整合，长期专注于媒体品牌、电子商务的研发和运营，享有广泛的市场影响力、品牌知名度和美誉度；同时凭借强大的资金实力和各类专业人才，“住朋购友”已成为广西较大的综合性传媒运营机构和电子商务平台，拥有了300多名员工和200多万名忠实客户，具有良好的行业和社会口碑。 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;住朋购友与保利集团、绿地集团、万达集团、宝能集团、万科地产、云星集团、天昌集团、金源集团、天健地产、汇东置业、盛天集团、中房集团、联发集团、大唐地产、华南城集团、骋望集团等众多知名品牌房企成功合作，规模与实力高居广西区内房地产互联网媒体行业前列。住朋购友正以迅猛的势头拓疆广西，住朋购友为广西房地产传媒行业再创辉煌！ &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;住朋购友现向社会各界招广聘英才，我们诚挚欢迎您的加入！ &nbsp;&nbsp; 联系人：杨小姐 电话：18077168821 公司的联系方式：0771-6782617 联系地址：南宁市青秀区中泰路8号天健商务大厦15楼 ,民营公司,150-500人,"互联网,电子商务影视,媒体,艺术,文化传播",22.814269,108.400785,中泰路8号天健商务大厦15楼,南宁
数据分析专员,0.6,1万/月,上海凯京信达科技集团有限公司,上海-浦东新区,上海,1年经验,本科,招1人,,,",五险一金,弹性工作,定期体检,年终奖金,绩效奖金,员工旅游,",职位信息 岗位职责: 1．针对销售和运营中的各项数据进行统计分析； 2．能够为相关业务部门提供简洁明晰的数据日报表； 3．能够为公司各部门提供分析报告，并提出初步建议； 4．设计和制作相关数据分析报表和日常统计报表，并不断优化； 5．能够根据数据反馈结果，加以分析，提出未来一段时间的业务发展走势预判； 6．完成领导交付的其它工作。  任职资格: 1．金融、应用数学、统计学等相关专业本科以上学历。 2．能够熟练使用各办公软件，制作各类数据图表、报告。 3．工作认真、负责，具有良好的沟通与协作能力及较强的工作责任心。 4．逻辑思维缜密，对数据敏感，具有较强的数据整理、分析能力，适合数据处理工作。 5．有互联网、金融行业工作经验者优先考虑。 ,",职能类别：,业务分析专员/助理,统计员,","关键字：,数据分析,业务数据,",上班地址：严家桥1号宏慧音悦湾3号楼203室,100161706,上海凯京信达科技集团有限公司（凯京科技），2015年成立于上海，致力于推动物流行业的数字化和智慧化，为小微物流企业和车主提供线上化的开放平台，探索解决物流行业运输成本高、融资门槛高等痛点，为物流行业降本增效。 凯京科技拥有蚂蚁金服、红杉资本、中航信托、德邦证券等知名股东。凯京科技联合优质股东资源，共同打造最懂小微物流企业和车主的数据、科技和普惠金融服务，通过凯京物流云线上化平台，将广大物流人日常经营所需的货物运输管理、车辆管理、资金结算管理、金融服务管理等全面线上化、数字化，让物流人生意更好做。  2018年8月完成蚂蚁金服、大钲资本领投，德邦证券、红杉资本跟投的10亿元人民币C轮融资； 2016年12月获得由中航信托领投、红杉资本、复朴资本跟投的2亿人民币B轮融资； 2016年2月获得红杉资本领投的1亿元人民币A轮投资。,民营公司,500-1000人,"金融,投资,证券互联网,电子商务",31.202758,121.53637,严家桥1号宏慧音悦湾3号楼203室,浦东新区
